section,2016 Applicant and Entering-Class Data,,
order,95,,
table_name,grade_point_average_first_year_first_time_enrollees,,
display_table_name,"Grade Point Average (GPA): First-Year, First-Time Enrollees",,
table_has_categories,yes,,
filter_by,,,
filter_display_order,,,
content,,,
Dental School,GPA,"Mean
Combined Graduate and Undergraduate","5th and 95th Percentiles
Combined Graduate and Undergraduate "
University of Toronto Faculty of Dentistry,Total,NR,NR
University of Utah School of Dentistry,Science,3.62,3.01–4.00
University of Utah School of Dentistry,Total,3.63,3.15–4.00
University of Washington School of Dentistry,Science,3.56,3.17–4.00
University of Washington School of Dentistry,Total,3.64,3.35–3.98
Virginia Commonwealth University School of Dentistry,Science,3.44,2.74–3.97
Virginia Commonwealth University School of Dentistry,Total,3.53,2.97–3.97
West Virginia University School of Dentistry,Science,3.48,2.87–3.97
West Virginia University School of Dentistry,Total,3.58,3.08–4.00
Western University of Health Sciences College of Dental Medicine,Science,3.11,2.42–3.67
Western University of Health Sciences College of Dental Medicine,Total,3.25,2.62–3.71
Western University Schulich School of Medicine & Dentistry,Science,NR,NR
Western University Schulich School of Medicine & Dentistry,Total,3.90,NR
