section,2017 Applicant and Entering-Class Data,,
order,94,,
table_name,dat_scores_first_time_first_year_enrollees,,
display_table_name,"DAT Scores: First-Year, First-Time Enrollees",,
table_has_categories,yes,,
filter_by,,,
filter_display_order,,,
content,,,
Dental School,Score Type,Mean,5th and 95th Percentiles
University of Michigan School of Dentistry,Perceptual Ability,20.9,18–24
University of Michigan School of Dentistry,Total Science,21.0,18–24
University of Minnesota School of Dentistry,Academic Average,20.6,18–23
University of Minnesota School of Dentistry,Perceptual Ability,20.9,18–24
University of Minnesota School of Dentistry,Total Science,20.4,18–24
University of Mississippi Medical Center School of Dentistry,Academic Average,18.7,17–21
University of Mississippi Medical Center School of Dentistry,Perceptual Ability,19.0,15–22
University of Mississippi Medical Center School of Dentistry,Total Science,18.4,16–21
University of Missouri - Kansas City School of Dentistry,Academic Average,19.3,17–23
University of Missouri - Kansas City School of Dentistry,Perceptual Ability,19.2,15–23
University of Missouri - Kansas City School of Dentistry,Total Science,18.8,16–23
University of Nebraska Medical Center College of Dentistry,Academic Average,20.0,17–24
University of Nebraska Medical Center College of Dentistry,Perceptual Ability,20.2,18–23
University of Nebraska Medical Center College of Dentistry,Total Science,19.6,17–24
"University of Nevada, Las Vegas, School of Dental Medicine",Academic Average,20.1,17–23
"University of Nevada, Las Vegas, School of Dental Medicine",Perceptual Ability,20.2,17–24
"University of Nevada, Las Vegas, School of Dental Medicine",Total Science,19.9,17–23
University of New England College of Dental Medicine,Academic Average,18.4,17–20
University of New England College of Dental Medicine,Perceptual Ability,19.0,16–22
University of New England College of Dental Medicine,Total Science,18.0,16–21
University of North Carolina at Chapel Hill School of Dentistry,Academic Average,21.0,18–24
University of North Carolina at Chapel Hill School of Dentistry,Perceptual Ability,20.6,17–25
University of North Carolina at Chapel Hill School of Dentistry,Total Science,21.0,18–25
University of Oklahoma College of Dentistry,Academic Average,19.5,17–22
University of Oklahoma College of Dentistry,Perceptual Ability,19.6,17–23
University of Oklahoma College of Dentistry,Total Science,19.0,16–22
University of Pennsylvania School of Dental Medicine,Academic Average,22.0,19–25
University of Pennsylvania School of Dental Medicine,Perceptual Ability,21.4,18–26
University of Pennsylvania School of Dental Medicine,Total Science,21.7,18–26
University of Pittsburgh School of Dental Medicine,Academic Average,20.8,19–25
University of Pittsburgh School of Dental Medicine,Perceptual Ability,20.1,16–25
University of Pittsburgh School of Dental Medicine,Total Science,20.6,18–24
University of Puerto Rico School of Dental Medicine,Academic Average,17.4,15–20
University of Puerto Rico School of Dental Medicine,Perceptual Ability,18.2,15–22
University of Puerto Rico School of Dental Medicine,Total Science,18.1,15–22
University of Tennessee Health Science Center College of Dentistry,Academic Average,20.0,18–23
University of Tennessee Health Science Center College of Dentistry,Perceptual Ability,20.1,17–25
University of Tennessee Health Science Center College of Dentistry,Total Science,19.6,17–22
University of Texas Health Science Center at San Antonio School of Dentistry,Academic Average,20.1,18–23
University of Texas Health Science Center at San Antonio School of Dentistry,Perceptual Ability,20.1,17–24
University of Texas Health Science Center at San Antonio School of Dentistry,Total Science,20.0,17–24
University of Texas School of Dentistry at Houston,Academic Average,21.3,18–24
University of Texas School of Dentistry at Houston,Perceptual Ability,20.2,17–24
University of Texas School of Dentistry at Houston,Total Science,21.3,18–25
"University of the Pacific, Arthur A. Dugoni School of Dentistry",Academic Average,22.1,20–25
"University of the Pacific, Arthur A. Dugoni School of Dentistry",Perceptual Ability,21.6,18–26
"University of the Pacific, Arthur A. Dugoni School of Dentistry",Total Science,21.8,19–25
University of Utah School of Dentistry,Academic Average,20.7,19–24
University of Utah School of Dentistry,Perceptual Ability,21.1,18–24
University of Utah School of Dentistry,Total Science,20.6,18–23
University of Washington School of Dentistry,Academic Average,21.3,18–24
University of Washington School of Dentistry,Perceptual Ability,21.1,18–25
University of Washington School of Dentistry,Total Science,21.3,18–25
Virginia Commonwealth University School of Dentistry,Academic Average,20.3,18–23
Virginia Commonwealth University School of Dentistry,Perceptual Ability,20.0,16–24
Virginia Commonwealth University School of Dentistry,Total Science,20.3,18–23
West Virginia University School of Dentistry,Academic Average,19.1,17–22
