section,2016 Applicant and Entering-Class Data,,,
University of Nebraska Medical Center College of Dentistry,Out-of-state,550,66,15
University of Nebraska Medical Center College of Dentistry,"International
(noncitizens who are not
permanent residents)",48,4,1
University of Nebraska Medical Center College of Dentistry,Total,676,141,48
"University of Nevada, Las Vegas, School of Dental Medicine",In-state,82,61,31
"University of Nevada, Las Vegas, School of Dental Medicine",Out-of-state,"1,769",339,44
"University of Nevada, Las Vegas, School of Dental Medicine","International
(noncitizens who are not
permanent residents)",98,12,3
"University of Nevada, Las Vegas, School of Dental Medicine",Total,"1,949",412,78
University of New England College of Dental Medicine,In-state,29,22,9
University of New England College of Dental Medicine,Out-of-state,"1,702",285,54
University of New England College of Dental Medicine,"International
(noncitizens who are not
permanent residents)",120,24,1
University of New England College of Dental Medicine,Total,"1,851",331,64
University of North Carolina at Chapel Hill School of Dentistry,In-state,361,171,69
University of North Carolina at Chapel Hill School of Dentistry,Out-of-state,"1,425",83,12
University of North Carolina at Chapel Hill School of Dentistry,"International
(noncitizens who are not
permanent residents)",59,1,1
University of North Carolina at Chapel Hill School of Dentistry,Total,"1,845",255,82
University of Oklahoma College of Dentistry,In-state,109,86,38
University of Oklahoma College of Dentistry,Out-of-state,587,98,17
University of Oklahoma College of Dentistry,"International
(noncitizens who are not
permanent residents)",20,0,0
University of Oklahoma College of Dentistry,Total,716,184,55
University of Pennsylvania School of Dental Medicine,In-state,155,41,12
University of Pennsylvania School of Dental Medicine,Out-of-state,"1,877",322,103
University of Pennsylvania School of Dental Medicine,"International
(noncitizens who are not
permanent residents)",282,27,9
University of Pennsylvania School of Dental Medicine,Total,"2,314",390,124
University of Pittsburgh School of Dental Medicine,In-state,232,NR,37
University of Pittsburgh School of Dental Medicine,Out-of-state,"1,585",NR,36
University of Pittsburgh School of Dental Medicine,"International
(noncitizens who are not
permanent residents)",180,NR,7
University of Pittsburgh School of Dental Medicine,Total,"1,997",NR,80
University of Puerto Rico School of Dental Medicine,In-state,77,63,39
University of Puerto Rico School of Dental Medicine,Out-of-state,286,4,2
University of Puerto Rico School of Dental Medicine,"International
(noncitizens who are not
permanent residents)",14,0,0
University of Puerto Rico School of Dental Medicine,Total,377,67,41
University of Saskatchewan College of Dentistry,In-state,59,49,26
University of Saskatchewan College of Dentistry,Out-of-state,169,32,3
University of Saskatchewan College of Dentistry,"International
(noncitizens who are not
permanent residents)",0,0,0
University of Saskatchewan College of Dentistry,Total,228,81,29
University of Tennessee Health Science Center College of Dentistry,In-state,189,NR,46
University of Tennessee Health Science Center College of Dentistry,Out-of-state,"1,287",NR,51
University of Tennessee Health Science Center College of Dentistry,"International
(noncitizens who are not
permanent residents)",15,NR,0
University of Tennessee Health Science Center College of Dentistry,Total,"1,491",NR,97
University of Texas Health Science Center at San Antonio School of Dentistry,In-state,793,257,95
University of Texas Health Science Center at San Antonio School of Dentistry,Out-of-state,485,34,5
University of Texas Health Science Center at San Antonio School of Dentistry,"International
(noncitizens who are not
permanent residents)",90,0,0
University of Texas Health Science Center at San Antonio School of Dentistry,Total,"1,366",291,100
University of Texas School of Dentistry at Houston,In-state,821,281,100
University of Texas School of Dentistry at Houston,Out-of-state,567,16,2
University of Texas School of Dentistry at Houston,"International
(noncitizens who are not
permanent residents)",51,0,1
University of Texas School of Dentistry at Houston,Total,"1,439",297,103
"University of the Pacific, Arthur A. Dugoni School of Dentistry",In-state,"1,096",207,111
"University of the Pacific, Arthur A. Dugoni School of Dentistry",Out-of-state,"1,200",76,23
"University of the Pacific, Arthur A. Dugoni School of Dentistry","International
(noncitizens who are not
permanent residents)",310,28,8
"University of the Pacific, Arthur A. Dugoni School of Dentistry",Total,"2,606",311,142
University of Toronto Faculty of Dentistry,In-state,429,185,89
University of Toronto Faculty of Dentistry,Out-of-state,118,34,7
University of Toronto Faculty of Dentistry,"International
(noncitizens who are not
permanent residents)",8,2,0
University of Toronto Faculty of Dentistry,Total,555,221,96
University of Utah School of Dentistry,In-state,155,67,29
University of Utah School of Dentistry,Out-of-state,350,58,17
University of Utah School of Dentistry,"International
(noncitizens who are not
permanent residents)",14,0,0
University of Utah School of Dentistry,Total,519,125,46
University of Washington School of Dentistry,In-state,203,129,56
University of Washington School of Dentistry,Out-of-state,874,54,7
University of Washington School of Dentistry,"International
(noncitizens who are not
permanent residents)",14,0,0
University of Washington School of Dentistry,Total,"1,091",183,63
Virginia Commonwealth University School of Dentistry,In-state,311,138,60
Virginia Commonwealth University School of Dentistry,Out-of-state,"1,690",201,33
Virginia Commonwealth University School of Dentistry,"International
(noncitizens who are not
permanent residents)",116,2,2
Virginia Commonwealth University School of Dentistry,Total,"2,117",341,95
West Virginia University School of Dentistry,In-state,72,66,40
West Virginia University School of Dentistry,Out-of-state,"1,275",32,5
West Virginia University School of Dentistry,"International
(noncitizens who are not
permanent residents)",84,5,3
West Virginia University School of Dentistry,Total,"1,431",103,48
Western University of Health Sciences College of Dental Medicine,In-state,"1,095",211,39
Western University of Health Sciences College of Dental Medicine,Out-of-state,1564,139,29
Western University of Health Sciences College of Dental Medicine,"International
(noncitizens who are not
permanent residents)",181,26,1
Western University of Health Sciences College of Dental Medicine,Total,"2,840",376,69
Western University Schulich School of Medicine & Dentistry,In-state,436,196,51
Western University Schulich School of Medicine & Dentistry,Out-of-state,128,28,5
Western University Schulich School of Medicine & Dentistry,"International
(noncitizens who are not
permanent residents)",6,0,0
Western University Schulich School of Medicine & Dentistry,Total,570,224,56
