section,Preparation,,,,
Herman Ostrow School of Dentistry of USC,"Chemistry, general/inorganic",x,,x,8/10
Herman Ostrow School of Dentistry of USC,"Chemistry, organic",x,,x,8/10
Herman Ostrow School of Dentistry of USC,Physics,x,,x,8/10
Herman Ostrow School of Dentistry of USC,#5#Additional biological sciences,,,,
Herman Ostrow School of Dentistry of USC,Anatomy,,x,,
Herman Ostrow School of Dentistry of USC,Biochemistry,,x,,8/10
Herman Ostrow School of Dentistry of USC,Cell biology,,x,,
Herman Ostrow School of Dentistry of USC,Histology,,x,,
Herman Ostrow School of Dentistry of USC,Immunology,,x,,
Herman Ostrow School of Dentistry of USC,Microbiology,,x,,
Herman Ostrow School of Dentistry of USC,Molecular biology/genetics,,x,,
Herman Ostrow School of Dentistry of USC,Physiology,,x,,
Herman Ostrow School of Dentistry of USC,Zoology,,,,
Herman Ostrow School of Dentistry of USC,#5#Nonscience,,,,
Herman Ostrow School of Dentistry of USC,Art,,,,
Herman Ostrow School of Dentistry of USC,Business,,,,
Herman Ostrow School of Dentistry of USC,Communications,,,,
Herman Ostrow School of Dentistry of USC,Economics,,,,
Herman Ostrow School of Dentistry of USC,Ethics,,,,
Herman Ostrow School of Dentistry of USC,Foreign languages,,,,
Herman Ostrow School of Dentistry of USC,Humanities,,,,
Herman Ostrow School of Dentistry of USC,Sociology,,,,
Herman Ostrow School of Dentistry of USC,#5#Behavioral Science,,,,
Herman Ostrow School of Dentistry of USC,Psychology,,,,
Herman Ostrow School of Dentistry of USC,#5#English,,,,
Herman Ostrow School of Dentistry of USC,Basic composition,,,,
Herman Ostrow School of Dentistry of USC,Composition,,,, 
Herman Ostrow School of Dentistry of USC,Creative writing,,,,
Herman Ostrow School of Dentistry of USC,English,,,,
Herman Ostrow School of Dentistry of USC,Literature,,,,
Herman Ostrow School of Dentistry of USC,Technical writing,,,,
Herman Ostrow School of Dentistry of USC,#5#Other science,,,,
Herman Ostrow School of Dentistry of USC,Algebra,,,,
Herman Ostrow School of Dentistry of USC,Biostatistics,,,,
Herman Ostrow School of Dentistry of USC,Calculus,,,,
Herman Ostrow School of Dentistry of USC,Computer science,,,,
Herman Ostrow School of Dentistry of USC,Genetics,,,,
Herman Ostrow School of Dentistry of USC,Mathematics,,,,
Herman Ostrow School of Dentistry of USC,Statistics,,,,
Herman Ostrow School of Dentistry of USC,Trigonometry,,,,
Herman Ostrow School of Dentistry of USC,#5#Notes: ,,,,
Loma Linda University School of Dentistry,#5#BCP (biology – chemistry – physics),,,,
Loma Linda University School of Dentistry,Biology,x,,x,8/12
Loma Linda University School of Dentistry,"Chemistry, general/inorganic",x,,x,8/12
Loma Linda University School of Dentistry,"Chemistry, organic",x,,x,8/12
Loma Linda University School of Dentistry,Physics,x,,x,8/12
Loma Linda University School of Dentistry,#5#Additional biological sciences,,,,
Loma Linda University School of Dentistry,Anatomy,,x,,4/4
Loma Linda University School of Dentistry,Biochemistry,x,,,4/8
Loma Linda University School of Dentistry,Cell biology,,x,,4/4
Loma Linda University School of Dentistry,Histology,,x,,4/4
Loma Linda University School of Dentistry,Immunology,,x,,4/4
Loma Linda University School of Dentistry,Microbiology,,x,,4/4
Loma Linda University School of Dentistry,Molecular biology/genetics,,x,,4/4
Loma Linda University School of Dentistry,Physiology,,x,,4/4
Loma Linda University School of Dentistry,Zoology,,,,
Loma Linda University School of Dentistry,#5#Nonscience,,,,
Loma Linda University School of Dentistry,Art,,,,
Loma Linda University School of Dentistry,Business,,,,
Loma Linda University School of Dentistry,Communications,,,,
